Date,coach,block,kwh,percent_used,miles_travelled
3/16/2020,2606,0,1.883810657,111.5,191.6454282
3/16/2020,2604,0,1.746356645,81,138.2043242
3/16/2020,7505,7773,1.99,52,94
3/16/2020,2601,0,1.881891399,119.5,182.8291527
3/16/2020,7505,7773,1.94,27,50
3/16/2020,7504,7776/7776,1.8,23,46
3/16/2020,7504,7776/7777,2.4,44,66
3/16/2020,7502,7774,1.75,50,103
3/16/2020,2603,0,2.100135166,108,154.0317048
3/16/2020,2602,0,1.795305922,121.5,211.3822861
3/17/2020,7505,7773,2.22,58,94
3/17/2020,7504,7774,1.99,41,74
3/17/2020,7504,7774,1.71,49,103
3/17/2020,7502,7776/7777,2.18,40,66
3/17/2020,7502,7776/7776,1.72,22,46
3/17/2020,2610,0,1.774366331,107.5,191.7581077
3/17/2020,7505,7773,2.66,37,50
3/17/2020,2607,0,1.706834214,130.5,228.4032252
3/17/2020,2606,0,1.738732407,99.5,188.1696253
3/17/2020,2605,0,1.993024811,135,203.4508094
3/17/2020,2604,0,2.013089551,122,186.0609727
3/17/2020,2603,0,1.814484376,98,170.6509982
3/17/2020,2602,0,1.83214671,117,197.9735073
3/17/2020,2601,0,1.915225514,96.5,145.2568003
3/17/2020,2611,0,1.878843491,122,183.8390114
3/18/2020,2602,0,1.848875487,115.5,189.1279117
3/18/2020,2603,0,1.868020652,147.5,235.3108161
3/18/2020,7505,7773,1.66,23,50
3/18/2020,7505,7773,2.03,53,94
3/18/2020,7504,7774,1.75,50,103
3/18/2020,2609,0,1.9663724,216,172.2978058
3/18/2020,2607,0,1.671010244,119.5,204.6142588
3/18/2020,2601,0,1.798201381,115,186.2156506
3/18/2020,2604,0,1.91172171,120.5,186.296404
3/18/2020,2606,0,1.729401604,112.5,200.2702206
3/18/2020,2611,0,2.001668562,101.5,151.5866092
3/18/2020,2610,0,1.793408341,63.5,111.7629295
3/18/2020,2600,0,1.863233418,80.5,148.7543682
3/18/2020,7504,7774,1.85,38,74
3/19/2020,2606,0,1.623457504,104.5,203.5446956
3/19/2020,7505,7773,1.8,25,50
3/19/2020,7502,7774,1.61,46,103
3/19/2020,7502,7774,1.8,37,74
3/19/2020,2611,0,1.724976919,111,188.8447529
3/19/2020,2610,0,1.819514635,131,207.9880001
3/19/2020,2608,0,1.573407395,2.5,34.49852859
3/19/2020,2604,0,1.998149161,112.5,175.9022434
3/19/2020,2602,0,1.809342247,112.5,196.9529759
3/19/2020,2600,0,1.85747711,114.5,203.4298385
3/19/2020,2605,0,1.889069574,35.5,103.7689891
3/19/2020,2603,0,1.909760397,102,159.4693179
3/19/2020,2601,0,2.142806078,44,54.47228809
3/19/2020,2609,0,1.993655334,102.5,156.8589438
3/19/2020,2607,0,1.48266054,70.5,151.7909535
3/20/2020,7502,7774,1.54,44,103
3/20/2020,7504,7776/7777,1.69,31,66
3/20/2020,7504,7776/7776,1.49,19,46
3/20/2020,7502,7774,1.7,35,74
3/20/2020,2609,0,1.733741464,104,190.5694827
3/20/2020,2600,0,1.638863713,28,57.71606319
3/20/2020,2611,0,1.619604849,47,87.33682792
3/20/2020,2602,0,1.961356057,83.5,133.8244216
3/20/2020,2603,0,1.806247905,118.5,193.5819812
3/20/2020,2604,0,1.817018791,108.5,178.0601288
3/20/2020,2607,0,1.841442875,54,93.42315875
3/20/2020,2610,0,1.686587486,82.5,153.1959606
3/20/2020,2601,0,1.794489621,64.5,112.5800326
3/21/2020,2609,0,1.403650748,7,14.58059707
3/21/2020,2602,0,1.45924715,31,72.04488288
3/23/2020,7505,7773,1.72,45,94
3/23/2020,2607,0,1.538489481,82,161.124657
3/23/2020,2612,0,1.752742109,102,183.9414072
3/23/2020,2611,0,1.6143227,82,155.5913465
3/23/2020,7504,7776/7777,1.96,36,66
3/23/2020,7504,7776/7776,1.33,17,46
3/23/2020,7505,7773,1.44,20,50
3/23/2020,2609,0,1.755651848,135,229.9978289
3/23/2020,2601,0,1.945093718,102,161.0469856
3/23/2020,2602,0,1.726380841,104.5,188.5706226
3/23/2020,2603,0,1.517288676,74.5,151.0615505
3/23/2020,2604,0,1.757287884,105,196.7516098
3/23/2020,2605,0,1.875385852,177.5,213.7268977
3/23/2020,2606,0,1.763408176,110.5,194.9645321
3/23/2020,2600,0,1.443590011,57.5,150.6607661
3/23/2020,2610,0,1.650581681,116,210.6852233
3/24/2020,2603,0,1.693791161,114.5,202.1351557
3/24/2020,7502,7774,1.85,38,74
3/24/2020,7504,7772,1.65,11,24
3/24/2020,2600,0,1.57497252,114,239.9025813
3/24/2020,2601,0,1.511082903,53,114.6926947
3/24/2020,2602,0,1.741784418,128,233.2689593
3/24/2020,7504,7772,1.48,41,100
3/24/2020,2604,0,1.708551694,102,195.4641004
3/24/2020,7502,7774,1.57,45,103
3/24/2020,2612,0,1.750673762,123.5,218.9941379
3/24/2020,2611,0,1.810783014,121.5,190.2390042
3/24/2020,2610,0,1.623911033,80.5,156.5047622
3/24/2020,2609,0,1.727280222,92,160.089685
3/24/2020,2605,0,1.827466756,141.5,192.3671382
3/24/2020,2606,0,2.016734364,70,115.1183339
3/24/2020,2607,0,1.921682079,83,134.7505567
3/24/2020,2608,0,1.58627516,43,87.30617709
3/25/2020,7502,7774,1.61,46,103
3/25/2020,2604,0,1.874793386,129.5,208.5343056
3/25/2020,7502,7774,1.65,34,74
3/25/2020,7504,7776/7776,1.96,25,46
3/25/2020,2600,0,1.782947338,63,130.7298006
3/25/2020,2601,0,1.633115728,80.5,151.7512726
3/25/2020,2602,0,1.667923864,104,188.5084854
3/25/2020,2606,0,1.450206864,41.5,95.20028036
3/25/2020,2605,0,1.761298876,85.5,153.7676221
3/25/2020,2607,0,1.709207968,115,206.7581574
3/25/2020,2609,0,1.688629245,125,217.3432156
3/25/2020,2610,0,1.623313466,101.5,196.9280651
3/25/2020,2611,0,1.752043892,107,183.4691651
3/25/2020,2612,0,1.570725479,99.5,199.6609166
3/25/2020,2603,0,1.700849192,123.5,204.2291766
3/26/2020,2609,0,1.577077544,74.5,150.5689368
3/26/2020,2610,0,1.77158236,82,136.1237871
3/26/2020,2612,0,1.743002589,116.5,205.2018464
3/26/2020,7502,7774,1.65,34,74
3/26/2020,2611,0,1.789922492,125,204.0582995
3/26/2020,2607,0,1.788658354,110,192.5070091
3/26/2020,7502,7774,1.85,53,103
3/26/2020,2605,0,1.868854381,110,178.2278991
3/26/2020,2600,0,1.923690127,84.5,159.937838
3/26/2020,2602,0,1.818875396,125.5,215.3737548
3/26/2020,2606,0,1.947012355,153,236.2792697
3/26/2020,2603,0,1.524719636,49,98.59607393
3/26/2020,2604,0,1.693707702,113,205.5994803
3/27/2020,2606,0,1.640971002,81,148.7999924
3/27/2020,2602,0,1.730964159,78.5,135.029888
3/27/2020,2603,0,1.837377617,88.5,144.2326811
3/27/2020,2605,0,1.89224382,114.5,158.5615008
3/27/2020,2604,0,1.775290924,81,141.8318747
3/27/2020,2610,0,1.797000871,119,210.4491022
3/27/2020,2611,0,1.834833619,56,83.43461684
3/27/2020,2612,0,1.664387503,111,195.3091692
3/27/2020,2600,0,1.87965176,75,152.5031317
3/27/2020,2609,0,1.953509311,85.5,138.4090567
3/30/2020,2602,0,1.75368813,111.5,193.3458602
3/30/2020,2606,0,1.807283367,118.5,197.0927285
3/30/2020,2600,0,1.789444328,108,191.9974847
3/30/2020,2601,0,1.773387702,91.5,147.5508033
3/30/2020,2603,0,1.76168596,132,220.462499
3/30/2020,2604,0,1.908352391,115.5,179.5545266
3/30/2020,2607,0,1.710608756,87,153.8142249
3/30/2020,2609,0,1.814835278,112.5,183.8916975
3/30/2020,2610,0,1.734727264,119.5,203.8905293
3/30/2020,2612,0,1.80447559,91,162.4574982
3/30/2020,2605,0,1.709436373,110,200.9296956
3/31/2020,2607,0,1.702954048,105.5,190.179974
3/31/2020,2603,0,1.638808849,105,199.8982194
3/31/2020,2604,0,1.711021872,103.5,199.3949087
3/31/2020,2605,0,1.755384264,83,162.0939961
3/31/2020,2606,0,1.567095266,15,36.91566253
3/31/2020,2609,0,1.68626826,118.5,221.0269462
3/31/2020,2610,0,1.621217679,98.5,187.8684731
3/31/2020,2601,0,1.686644552,84.5,151.2293208
3/31/2020,2602,0,1.908884442,128,206.8698305
3/31/2020,2600,0,1.777614937,110.5,216.0352601
4/1/2020,2607,0,1.780571499,121,205.3162004
4/1/2020,2606,0,1.555017818,57,112.1543933
4/1/2020,2609,0,1.441539367,22.5,52.342203
4/1/2020,2610,0,1.559358567,97,190.1457985
4/1/2020,2603,0,1.692796219,108.5,203.9337082
4/1/2020,2602,0,1.934156873,100,161.4510506
4/1/2020,2601,0,1.818084641,124.5,207.8766255
4/1/2020,2600,0,1.758187036,79.5,180.1137298
4/1/2020,2604,0,1.701616921,106.5,188.8813082
4/2/2020,2606,0,1.706662274,84.5,161.1992215
4/2/2020,2610,0,1.650188751,83.5,159.7887089
4/2/2020,2609,0,1.604619035,10,19.2594001
4/2/2020,2607,0,1.569543328,106.5,206.1868716
4/2/2020,2604,0,1.663557759,110.5,196.9001034
4/2/2020,2602,0,1.541358481,96.5,187.675848
4/2/2020,2601,0,1.704805702,119.5,209.4020918
4/2/2020,2600,0,1.660224517,105.5,231.5755736
4/2/2020,2603,0,1.669598312,100,178.8930834
4/3/2020,2607,0,1.687290643,103.5,193.0009992
4/3/2020,2604,0,1.685075102,79.5,148.5325698
4/3/2020,2603,0,1.639780626,109,204.2788863
4/3/2020,2605,0,1.469854274,52.5,108.7151038
4/3/2020,2600,0,1.662687366,68,154.3829287
4/3/2020,2606,0,1.837305285,32,60.96583453
4/3/2020,2610,0,1.612442677,99,197.9812893
4/3/2020,2601,0,1.82685458,124.5,207.5939016
4/5/2020,2612,0,1.572226018,13,27.65101805
4/6/2020,2605,0,2.020319134,128.5,196.9532816
4/6/2020,2600,0,1.871236009,121.5,208.6005229
4/6/2020,2601,0,1.713083263,10,18.13161139
4/6/2020,2602,0,1.76615402,71.5,125.2963941
4/6/2020,2603,0,1.768120318,104.5,171.9582637
4/6/2020,2604,0,1.998750743,112,164.5732671
4/6/2020,2607,0,1.928127254,98.5,160.6555218
4/6/2020,2609,0,2.131607,34.5,51.58312952
4/6/2020,2610,0,1.848916266,122,201.827577
4/6/2020,2611,0,1.773797941,10,18.41433528
4/6/2020,2612,0,1.785679473,32.5,61.23923785
4/6/2020,2606,0,1.883421882,113.5,189.3535503
4/7/2020,2611,0,1.531338695,12.5,32.37343912
4/7/2020,2603,0,1.852135908,15.5,22.73597192
4/7/2020,2600,0,1.989299948,50,93.85501173
4/7/2020,2601,0,1.710438714,60.5,106.399462
4/7/2020,2612,0,1.83988548,76,137.2111867
4/7/2020,2602,0,1.387441474,19,41.6163356
4/7/2020,2607,0,1.865122071,110.5,179.0947119
4/7/2020,2606,0,1.830146824,86.5,159.6240456
4/7/2020,2609,0,1.875456675,129.5,220.0937401
4/7/2020,2610,0,1.682707148,49.5,82.39382009
4/7/2020,2604,0,1.523368174,58,126.8156466
4/7/2020,2605,0,1.85198796,146.5,228.149431
4/8/2020,2604,0,1.947441514,96,157.458567
4/8/2020,2600,0,1.747077887,120,231.2604312
4/8/2020,2602,0,1.823001078,109.5,184.4043287
4/8/2020,2603,0,1.740901176,71,120.0395938
4/8/2020,2607,0,1.74167208,118,205.9845502
4/8/2020,2605,0,1.869034166,100,156.873546
4/8/2020,2610,0,1.708361791,83.5,152.021569
4/8/2020,2606,0,1.801262289,99.5,185.1468673
4/8/2020,2612,0,1.829653093,41.5,76.68031198
4/8/2020,2609,0,1.739709416,67.5,126.9544982
4/9/2020,2604,0,2.144069839,111.5,161.1308707
4/9/2020,2600,0,1.874743577,116,201.5090699
4/9/2020,2602,0,1.916690113,104,180.4803696
4/9/2020,2603,0,1.85793592,128.5,202.5514744
4/9/2020,2605,0,1.88932631,12,24.11230911
4/9/2020,2607,0,1.775087458,108,191.3139764
4/9/2020,2609,0,2.14520201,11,16.24885668
4/9/2020,2606,0,2.088763361,139.5,208.7185835
4/9/2020,2610,0,1.991604475,142.5,216.2868691
4/10/2020,2604,0,1.804200815,109.5,192.0099121
4/10/2020,2600,0,1.812496089,94.5,201.6038833
4/10/2020,2601,0,1.909764126,132,208.6750875
4/10/2020,2602,0,1.801230831,88.5,166.6735017
4/10/2020,2603,0,1.676799345,96.5,174.6860833
4/10/2020,2607,0,1.690964249,66,127.9216873
4/10/2020,2605,0,1.905710327,104,174.2293754
4/10/2020,2606,0,1.792004591,110.5,199.5153929
4/10/2020,2609,0,1.893451255,141.5,231.1032085
4/10/2020,2611,0,1.80996482,135.5,212.4144882
4/10/2020,2612,0,1.820496904,9.5,17.50091963
4/10/2020,2610,0,1.704164515,87,161.8175014
4/13/2020,2612,0,1.692187085,103,201.9567476
4/13/2020,2607,0,1.697262508,119,207.7554581
4/13/2020,2605,0,1.892618233,95.5,159.6551141
4/13/2020,2604,0,1.798819217,107,181.2695111
4/13/2020,2609,0,1.871987962,100,173.6111111
4/13/2020,2602,0,1.64314884,101.5,195.5610485
4/13/2020,2600,0,1.791956024,66.5,127.8844051
4/13/2020,2603,0,1.575223844,95.5,188.0797393
4/14/2020,2609,0,1.525895529,61,122.105653
4/14/2020,2602,0,1.807893679,121,220.7518547
4/14/2020,2612,0,1.677608252,92.5,182.2867703
4/14/2020,2607,0,1.875842782,91.5,159.1238418
4/14/2020,2606,0,1.854137718,101,168.9446135
4/14/2020,2600,0,1.66549636,16.5,37.61159827
4/14/2020,2604,0,1.656602536,46.5,95.41154657
4/14/2020,2603,0,1.652117081,109.5,201.1316412
4/14/2020,2605,0,1.896267431,126,204.6508305
4/15/2020,2604,0,1.702422549,102,186.1783435
4/15/2020,2602,0,1.863683993,107,182.3720268
4/15/2020,2603,0,1.63184185,92.5,178.9735445
4/15/2020,2609,0,1.764331298,134,232.7125462
4/15/2020,2605,0,1.789698472,116.5,209.891868
4/15/2020,2610,0,1.622592777,8.5,18.36773244
4/15/2020,2612,0,1.866385409,90.5,161.5409757
4/15/2020,2607,0,1.590128442,54,104.7942516
4/16/2020,2610,0,1.586588772,65,127.6256151
4/16/2020,2603,0,1.678436623,108,204.2695657
4/16/2020,2604,0,1.69780006,113,212.6165692
4/16/2020,2605,0,1.677068655,104,201.4266613
4/16/2020,2607,0,1.771067066,92.5,167.4346815
4/16/2020,2608,0,1.888788013,6.5,11.05108665
4/16/2020,2609,0,1.75642706,87,155.6040598
4/16/2020,2612,0,1.722108913,108,207.9698312
4/17/2020,2604,0,1.687640921,108,206.4258289
4/17/2020,2605,0,1.694893484,125.5,204.7687794
4/17/2020,2603,0,1.627524863,100.5,178.746744
4/17/2020,2612,0,1.774188608,97,177.3051628
4/17/2020,2602,0,1.489451348,7.5,19.42095661
4/17/2020,2608,0,1.612390354,59.5,33.42355643
4/17/2020,2610,0,1.632215693,98,203.3381087
4/17/2020,2609,0,1.635074853,87,168.8949038
4/17/2020,2607,0,1.631565635,111.5,211.1373019
4/18/2020,2607,0,1.171378657,5.5,10.72328228
4/20/2020,2601,0,1.54225517,99,195.247256
4/20/2020,2604,0,1.742239524,116,208.7757795
4/20/2020,2602,0,1.406109701,23.5,57.48926271
4/20/2020,2603,0,1.570645284,99,201.1813509
4/20/2020,2609,0,1.68155409,98.5,188.4121729
4/20/2020,2605,0,1.793163225,94,176.3513581
4/20/2020,2608,0,1.400106591,40,89.91241152
4/20/2020,2610,0,1.777866783,115.5,219.1932595
4/20/2020,2612,0,1.746721532,84,162.311476
4/20/2020,2607,0,1.58958038,116.5,229.0365515
4/21/2020,2600,0,1.809929007,9.5,18.40501471
4/21/2020,2601,0,1.624254292,79.5,153.1338235
4/21/2020,2602,0,1.729163208,105.5,196.5366012
4/21/2020,2603,0,1.856269274,91.5,159.658221
4/21/2020,2604,0,1.838905424,113.5,201.3032077
4/21/2020,2605,0,1.86226083,154.5,218.5238209
4/21/2020,2607,0,1.619830042,112.5,214.1315965
4/21/2020,2609,0,1.607569877,93,198.9941243
